Date,Pitcher,Pick,Line,Actual_K,Result,Matchup,Actual_IP
2026-06-27,Cole Sulser,U,2.5,1.0,W,,
2026-06-27,Andre Pallante,O,4.5,4.0,L,,
2026-06-27,Ryan Gusto,U,3.5,4.0,L,,
2026-06-27,Alan Rangel,O,3.5,4.0,W,,
2026-06-27,Christian Scott,O,4.5,6.0,W,,
2026-06-27,Randy Vasquez,O,3.5,1.0,L,,
2026-06-27,Y. Yamamoto,U,6.5,4.0,W,,
2026-06-27,Kyle Harrison,O,5.5,9.0,W,,
2026-06-27,David Peterson,U,4.5,2.0,W,,
2026-06-27,Reid Detmers,O,6.5,8.0,W,,
2026-06-27,Jack Perkins,U,5.5,5.0,W,,
2026-06-27,Framber Valdez,O,4.5,2.0,L,,
2026-06-27,Kai-Wei Teng,U,4.5,1.0,W,,
2026-06-27,Michael Lorenzen,U,4.5,1.0,W,,
2026-06-27,Mike Paredes,U,3.5,2.0,W,,
2026-06-27,Brandon Young,U,4.5,8.0,L,,
2026-06-27,Foster Griffin,O,6.5,9.0,W,,
2026-06-27,Michael Wacha,O,4.5,7.0,W,,
2026-06-27,Davis Martin,O,5.5,3.0,L,,
2026-06-27,Chase Burns,O,6.5,10.0,W,,
2026-06-27,Jared Jones,O,5.5,4.0,L,,
2026-06-27,Dylan Cease,O,7.5,10.0,W,,
2026-06-27,Cal Quantrill,O,1.5,5.0,W,,
2026-06-27,Jake Bennett,O,4.5,3.0,L,,
2026-06-27,Gerrit Cole,U,5.5,5.0,L,,
2026-06-30,Miles Mikolas,O,2.5,3.0,W,,
2026-06-30,Ranger Suarez,U,5.5,8.0,L,,
2026-06-30,Tyler Mahle,U,4.5,3.0,W,,
2026-06-30,Eduardo Rodriguez,U,4.5,1.0,W,,
2026-06-30,Gage Jump,O,4.5,5.0,W,,
2026-06-30,Eric Lauer,U,4.5,2.0,W,,
2026-06-27,Logan Webb,O,0.5,6.0,W,,
2026-06-27,Bryce Elder,O,4.5,4.0,L,,
2026-06-27,Slade Cecconi,O,4.5,4.0,L,,
2026-06-27,Logan Gilbert,O,5.5,7.0,W,,
2026-07-04,Braxton Ashcraft,O 5.5,,7,WIN,PIT @ WSH,
2026-07-04,Zack Littell,U 3.5,,3,WIN,PIT @ WSH,
2026-07-04,Zebby Matthews,O 4.5,,5,WIN,MIN @ NYY,
2026-07-04,Brendan Beck,N,,3,NO LINE,MIN @ NYY,
2026-07-04,Jack Flaherty,U 5.5,,5,WIN,DET @ TEX,
2026-07-04,Shane Bieber,U 5.5,,3,WIN,TOR @ SEA,
2026-07-04,Logan Gilbert,U 5.5,,7,LOSS,TOR @ SEA,
2026-07-04,Brandon Young,O 4.5,,5,WIN,BAL @ CIN,
2026-07-04,Hunter Greene,U 6.5,,7,LOSS,BAL @ CIN,
2026-07-04,Drew Rasmussen,U 5.5,,2,WIN,TB @ HOU,
2026-07-04,Hunter Brown,U 5.5,,3,WIN,TB @ HOU,
2026-07-04,Sean Burke,O 5.5,,11,WIN,CWS @ CLE,
2026-07-04,Parker Messick,U 6.5,,3,WIN,CWS @ CLE,
2026-07-04,Kyle Leahy,U 4.5,,6,LOSS,STL @ CHC,
2026-07-04,Shota Imanaga,U 5.5,,8,LOSS,STL @ CHC,
2026-07-04,Sean Manaea,U 4.5,,4,WIN,NYM @ ATL,
2026-07-04,Chris Sale,U 7.5,,3,WIN,NYM @ ATL,
2026-07-04,Robbie Ray,U 5.5,,4,WIN,SF @ COL,
2026-07-04,Jesús Luzardo,O 6.5,,9,WIN,PHI @ KC,
2026-07-04,Michael Wacha,O 4.5,,7,WIN,PHI @ KC,
2026-07-04,Sonny Gray,U 5.5,,7,LOSS,BOS @ LAA,
2026-07-04,Sam Aldegheri,U 3.5,,2,WIN,BOS @ LAA,
2026-07-04,Sandy Alcantara,O 4.5,,8,WIN,MIA @ ATH,
2026-07-04,Aaron Civale,U 3.5,,6,LOSS,MIA @ ATH,
2026-07-04,Brandon Woodruff,U 4.5,,6,LOSS,MIL @ AZ,
2026-07-04,Merrill Kelly,U 3.5,,6,LOSS,MIL @ AZ,
2026-07-04,Griffin Canning,U 4.5,,4,WIN,SD @ LAD,
2026-07-04,Yoshinobu Yamamoto,U 6.5,,10,LOSS,SD @ LAD,
2026-07-05,Nolan McLean,O 5.5,,5,LOSS,NYM @ ATL,
2026-07-05,Martín Pérez,U 4.5,,1,WIN,NYM @ ATL,
2026-07-05,Bubba Chandler,U 4.5,,0,WIN,PIT @ WSH,
2026-07-05,Cade Cavalli,U 5.5,,3,WIN,PIT @ WSH,
2026-07-05,Kyle Bradish,U 6.5,,5,WIN,BAL @ CIN,
2026-07-05,Nick Lodolo,U 5.5,,4,WIN,BAL @ CIN,
2026-07-05,Joe Ryan,U 6.5,,9,LOSS,MIN @ NYY,
2026-07-05,Ryan Weathers,U 5.5,,6,LOSS,MIN @ NYY,
2026-07-05,Chris Murphy,O 1.5,,1,LOSS,CWS @ CLE,
